numero,fecha,precio
314,2014.4110730593607,627.9
315,2014.413812785388,649.8
316,2014.4165525114156,655.5
317,2014.419292237443,669.4
318,2014.4220319634703,638.9
319,2014.4247716894977,660.2
320,2014.427511415525,650.4
321,2014.4302511415526,651.7
322,2014.43299086758,651.0
323,2014.4357305936073,644.3
324,2014.4384703196347,655.6
325,2014.441210045662,643.0
326,2014.4439497716894,597.1
327,2014.446689497717,610.3
328,2014.4494292237443,583.4
329,2014.4521689497717,582.3
330,2014.454908675799,599.1
331,2014.4576484018264,605.1
332,2014.4603881278538,606.2
333,2014.4631278538814,600.2
334,2014.4658675799087,590.8
335,2014.468607305936,597.0
336,2014.4713470319634,603.6
337,2014.4740867579908,591.2
338,2014.4768264840184,588.8
339,2014.4795662100457,568.5
340,2014.482305936073,582.7
341,2014.4850456621004,602.2
342,2014.4877853881278,597.6
343,2014.4905251141552,601.1
344,2014.4932648401827,635.1
345,2014.49600456621,643.2
346,2014.4987442922375,645.7
347,2014.5014840182648,638.0
348,2014.5042237442922,624.0
349,2014.5069634703195,623.0
350,2014.5097031963471,626.7
351,2014.5124429223745,613.6
352,2014.5151826484018,615.3
353,2014.5179223744292,623.0
354,2014.5206621004565,618.4
355,2014.523401826484,632.9
356,2014.5261415525115,635.9
357,2014.5288812785388,628.0
358,2014.5316210045662,618.3
359,2014.5343607305936,619.6
360,2014.537100456621,614.8
361,2014.5398401826485,626.6
362,2014.5425799086759,627.5
363,2014.5453196347032,627.0
364,2014.5480593607306,621.0
365,2014.550799086758,625.1
366,2014.5535388127853,622.5
367,2014.5562785388129,621.7
368,2014.5590182648402,601.9
369,2014.5617579908676,600.5
370,2014.564497716895,596.0
371,2014.5672374429223,595.0
372,2014.5699771689497,587.9
373,2014.5727168949772,585.8
374,2014.5754566210046,564.6
375,2014.578196347032,589.5
376,2014.5809360730593,598.8
377,2014.5836757990867,591.7
378,2014.5864155251143,588.9
379,2014.5891552511416,592.8
380,2014.591894977169,588.8
381,2014.5946347031963,589.8
